Alpha-3 code;Cancer code;Population code (ISO/UN);Country;Label;Sex;Number;MIR;Crude rate;Cumulative risk;indicator
CPV;5;132;132;Cape Verde;0;1;0.287878788;18;2;MIR
CAF;5;140;140;Central African Republic;0;0;Inf;0;0;MIR
LKA;5;144;144;Sri Lanka;0;187;4;87;7;MIR
TCD;5;148;148;Chad;0;8;0.8125;5;2;MIR
CHL;5;152;152;Chile;0;32;0.421052632;17;1;MIR
CHN;5;156;160;China;0;5775;0.58974359;41;3;MIR
COL;5;170;170;Colombia;0;41;0.333333333;8;1;MIR
COM;5;174;174;Comoros;0;0;Inf;0;0;MIR
COG;5;178;178;Congo, Republic of;0;0;Inf;0;0;MIR
COD;5;180;180;Congo, Democratic People Republic of;0;82;0.818181818;9;2;MIR
CRI;5;188;188;Costa Rica;0;6;0.304347826;12;1;MIR
HRV;5;191;191;Croatia;0;77;6.142857143;19;12;MIR
CUB;5;192;192;Cuba;0;56;0.304878049;5;3;MIR
CYP;5;196;196;Cyprus;0;0;0;0;0;MIR
CZE;5;203;203;Czechia;0;131;0.890410959;12;8;MIR
BEN;5;204;204;Benin;0;4;6;3;1;MIR
DNK;5;208;208;Denmark;0;73;0.571428571;13;7;MIR
DOM;5;214;214;Dominican Republic;0;12;0.423076923;11;1;MIR
ECU;5;218;218;Ecuador;0;7;0.375;4;0;MIR
SLV;5;222;222;El Salvador;0;3;0.4;5;0;MIR
GNQ;5;226;226;Equatorial Guinea;0;0;Inf;0;0;MIR
ETH;5;231;231;Ethiopia;0;50;0.777777778;4;1;MIR
ERI;5;232;232;Eritrea;0;0;Inf;0;0;MIR
EST;5;233;233;Estonia;0;28;0.733333333;21;15;MIR
FJI;5;242;242;Fiji;0;0;Inf;0;0;MIR
FIN;5;246;246;Finland;0;22;0.5;4;2;MIR
FRA;5;250;250;France (metropolitan);0;868;33;13;8;MIR
GUF;5;254;254;French Guyana;0;0;Inf;0;0;MIR
PYF;5;258;258;French Polynesia;0;3;6.538461538;11;15;MIR
DJI;5;262;262;Djibouti;0;0;Inf;0;0;MIR
GAB;5;266;266;Gabon;0;2;1;9;2;MIR
GEO;5;268;268;Georgia;0;30;42;76;5;MIR
GMB;5;270;270;The Republic of the Gambia;0;0;Inf;0;0;MIR
PSE;5;275;275;Gaza Strip and West Bank;0;0;Inf;0;0;MIR
DEU;5;276;276;Germany;0;979;5;12;7;MIR
GHA;5;288;288;Ghana;0;21;0.928571429;6;1;MIR
GRC;5;300;300;Greece;0;13;5;13;1;MIR
GLP;5;312;312;France, Guadeloupe;0;4;3.285714286;1;5;MIR
GUM;5;316;316;Guam;0;0;Inf;0;0;MIR
GTM;5;320;320;Guatemala;0;3;0.5;2;0;MIR
GIN;5;324;324;Guinea;0;5;0.888888889;4;1;MIR
GUY;5;328;328;Guyana;0;0;0;0;0;MIR
HTI;5;332;332;Haiti;0;0;0;0;0;MIR
HND;5;340;340;Honduras;0;3;0.25;3;0;MIR
HUN;5;348;348;Hungary;0;360;0.057142857;38;26;MIR
ISL;5;352;352;Iceland;0;3;Inf;87;9;MIR
IND;5;356;356;India;0;11618;3.857142857;83;1;MIR
IDN;5;360;360;Indonesia;0;160;5;6;1;MIR
IRN;5;364;364;Iran, Islamic Republic of;0;39;0.307692308;5;1;MIR
IRQ;5;368;368;Iraq;0;10;4;2;0;MIR
IRL;5;372;372;Ireland;0;35;0.59375;7;5;MIR
ISR;5;376;376;Israel;0;9;0.5;1;1;MIR
ITA;5;380;380;Italy;0;364;0.543478261;6;3;MIR
CIV;5;384;384;Côte d'Ivoire;0;11;0.615384615;4;0;MIR
JAM;5;388;388;Jamaica;0;2;0.461538462;7;1;MIR
JPN;5;392;392;Japan;0;2238;0.357142857;18;6;MIR
KAZ;5;398;398;Kazakhstan;0;43;0.527777778;22;3;MIR
JOR;5;400;400;Jordan;0;3;0.307692308;3;0;MIR
KEN;5;404;404;Kenya;0;112;8.2;2;5;MIR
PRK;5;408;408;Korea, Democratic People Republic of;0;59;0.6;23;2;MIR
KOR;5;410;410;Korea, Republic of;0;302;0.510638298;59;3;MIR
KWT;5;414;414;Kuwait;0;2;0.235294118;5;0;MIR
KGZ;5;417;417;Kyrgyzstan;0;22;0.464285714;33;5;MIR
LAO;5;418;418;Lao People's Democratic Republic;0;41;0.070707071;55;8;MIR
LBN;5;422;422;Lebanon;0;1;0.5;1;0;MIR
LSO;5;426;426;Lesotho;0;0;Inf;0;0;MIR
LVA;5;428;428;Latvia;0;41;0.666666667;22;16;MIR
LBR;5;430;430;Liberia;0;0;0;0;0;MIR
LBY;5;434;434;Libya;0;3;0.444444444;4;0;MIR
LTU;5;440;440;Lithuania;0;81;0.695652174;3;2;MIR
LUX;5;442;442;Luxembourg;0;3;0.375;47;4;MIR
MDG;5;450;450;Madagascar;0;109;0.892857143;37;8;MIR
MWI;5;454;454;Malawi;0;0;Inf;0;0;MIR
MYS;5;458;458;Malaysia;0;86;6;26;3;MIR
MDV;5;462;462;Maldives;0;0;Inf;0;0;MIR
MLI;5;466;466;Mali;0;9;0.615384615;4;1;MIR
MLT;5;470;470;Malta;0;0;0;0;0;MIR
MTQ;5;474;474;France, Martinique;0;2;0.240740741;53;0;MIR
MRT;5;478;478;Mauritania;0;1;1;2;0;MIR
MUS;5;480;480;Mauritius;0;6;0.717948718;47;3;MIR
MEX;5;484;484;Mexico;0;82;5;6;1;MIR
MNG;5;496;496;Mongolia;0;3;0.038461538;9;1;MIR
MDA;5;498;498;Moldova;0;88;0.736842105;22;18;MIR
MNE;5;499;499;Montenegro;0;6;0.070588235;96;8;MIR
MAR;5;504;504;Morocco;0;72;5.333333333;19;2;MIR
MOZ;5;508;508;Mozambique;0;6;0.8;2;0;MIR
OMN;5;512;512;Oman;0;3;0.259259259;6;1;MIR
NAM;5;516;516;Namibia;0;5;0.842105263;19;4;MIR
NPL;5;524;524;Nepal;0;42;0.347826087;14;2;MIR
NLD;5;528;528;The Netherlands;0;119;0.457627119;69;3;MIR
NCL;5;540;540;New Caledonia;0;1;0.377777778;34;0;MIR
VUT;5;548;548;Vanuatu;0;0;Inf;0;0;MIR
NZL;5;554;554;New Zealand;0;12;0.333333333;24;1;MIR
NIC;5;558;558;Nicaragua;0;5;0.666666667;7;0;MIR
NER;5;562;562;Niger;0;12;0.076923077;5;1;MIR
NGA;5;566;566;Nigeria;0;66;0.857142857;3;1;MIR
NOR;5;578;578;Norway;0;11;0.321428571;2;1;MIR
PAK;5;586;586;Pakistan;0;897;4.636363636;39;6;MIR
PAN;5;591;591;Panama;0;10;0.76;22;3;MIR
PNG;5;598;598;Papua New Guinea;0;8;0.565217391;9;1;MIR
PRY;5;600;600;Paraguay;0;12;0.375;16;2;MIR
PER;5;604;604;Peru;0;35;0.32;1;1;MIR
PHL;5;608;608;Philippines;0;124;0.565217391;11;2;MIR
POL;5;616;616;Poland;0;626;0.529411765;17;11;MIR
PRT;5;620;620;Portugal;0;195;49;19;12;MIR
GNB;5;624;624;Guinea-Bissau;0;0;Inf;0;0;MIR
TLS;5;626;626;Timor-Leste;0;0;Inf;0;0;MIR
PRI;5;630;630;Puerto Rico;0;9;0.4;32;2;MIR
QAT;5;634;634;Qatar;0;0;0;0;0;MIR
REU;5;638;638;France, La Réunion;0;10;3.380952381;11;9;MIR
ROU;5;642;642;Romania;0;477;0.583333333;25;17;MIR
RUS;5;643;643;Russian Federation;0;2102;7.166666667;14;11;MIR
RWA;5;646;646;Rwanda;0;2;0.75;1;0;MIR
LCA;5;662;662;Saint Lucia;0;0;Inf;0;0;MIR
STP;5;678;678;Sao Tome and Principe;0;0;Inf;0;0;MIR
SAU;5;682;682;Saudi Arabia;0;22;0.421052632;6;1;MIR
SEN;5;686;686;Senegal;0;4;0.8;2;1;MIR
SRB;5;688;688;Serbia;0;122;6.416666667;14;1;MIR
SLE;5;694;694;Sierra Leone;0;0;Inf;0;0;MIR
SGP;5;702;702;Singapore;0;29;0.615384615;49;3;MIR
SVK;5;703;703;Slovakia;0;171;0.620689655;31;22;MIR
VNM;5;704;704;Viet Nam;0;1236;0.5;13;11;MIR
SVN;5;705;705;Slovenia;0;28;4.785714286;14;8;MIR
SOM;5;706;706;Somalia;0;17;0.086956522;1;3;MIR
ZAF;5;710;710;South Africa;0;74;0.4;12;2;MIR
ZWE;5;716;716;Zimbabwe;0;7;0.916666667;5;3;MIR
ESP;5;724;724;Spain;0;296;4.142857143;63;4;MIR
SSD;5;728;728;South Sudan;0;10;0.782608696;9;3;MIR
SDN;5;729;729;Sudan;0;47;0.586206897;1;2;MIR
SUR;5;740;740;Suriname;0;0;Inf;0;0;MIR
SWZ;5;748;748;Eswatini;0;0;Inf;0;0;MIR
SWE;5;752;752;Sweden;0;44;0.516129032;43;2;MIR
CHE;5;756;756;Switzerland;0;94;0.474747475;11;6;MIR
SYR;5;760;760;Syrian Arab Republic;0;6;1;3;1;MIR
TJK;5;762;762;Tajikistan;0;9;0.555555556;9;1;MIR
THA;5;764;764;Thailand;0;472;0.560606061;67;4;MIR
TGO;5;768;768;Togo;0;3;1;3;1;MIR
TTO;5;780;780;Trinidad and Tobago;0;2;0.333333333;14;1;MIR
ARE;5;784;784;United Arab Emirates;0;1;0.5;1;0;MIR
TUN;5;788;788;Tunisia;0;21;0.424242424;17;2;MIR
TUR;5;792;792;Türkiye;0;78;0.28;9;1;MIR
TKM;5;795;795;Turkmenistan;0;23;0.483146067;37;5;MIR
UGA;5;800;800;Uganda;0;55;0.829268293;11;5;MIR
UKR;5;804;804;Ukraine;0;839;0.705882353;19;14;MIR
MKD;5;807;807;North Macedonia;0;4;0.47826087;19;2;MIR
EGY;5;818;818;Egypt;0;167;0.655172414;16;2;MIR
GBR;5;826;826;United Kingdom;0;430;0.050847458;63;4;MIR
TZA;5;834;834;Tanzania, United Republic of;0;163;7.625;26;7;MIR
USA;5;840;840;United States of America;0;635;0.026315789;19;1;MIR
BFA;5;854;854;Burkina Faso;0;20;0.80952381;9;2;MIR
URY;5;858;858;Uruguay;0;7;0.192982456;2;1;MIR
UZB;5;860;860;Uzbekistan;0;61;0.422222222;18;2;MIR
VEN;5;862;862;Venezuela;0;21;0.352941176;7;1;MIR
WSM;5;882;882;Samoa;0;0;Inf;0;0;MIR
YEM;5;887;887;Yemen;0;7;0.571428571;2;1;MIR
ZMB;5;894;894;Zambia;0;0;0;0;0;MIR
;;;;Total;;40905;0.460674157;52;5;MIR
AFG;19;4;4;Afghanistan;0;16;7;4;1;MIR
ALB;19;8;8;Albania;0;0;0;0;0;MIR
DZA;19;12;12;Algeria;0;28;0.384615385;6;0;MIR
AGO;19;24;24;Angola;0;357;0.535714286;1;13;MIR
AZE;19;31;31;Azerbaijan;0;12;0.204545455;12;1;MIR
ARG;19;32;32;Argentina;0;38;0.133333333;8;1;MIR
AUS;19;36;36;Australia;0;3;0;1;0;MIR
AUT;19;40;40;Austria;0;0;0;0;0;MIR
BHS;19;44;44;Bahamas;0;0;0;0;0;MIR
BHR;19;48;48;Bahrain;0;0;Inf;0;0;MIR
BGD;19;50;50;Bangladesh;0;0;Inf;0;0;MIR
ARM;19;51;51;Armenia;0;0;Inf;0;0;MIR
BRB;19;52;52;Barbados;0;0;0;0;0;MIR
BEL;19;56;56;Belgium;0;1;0;1;0;MIR
BTN;19;64;64;Bhutan;0;0;Inf;0;0;MIR
BOL;19;68;68;Bolivia;0;0;Inf;0;0;MIR
BIH;19;70;70;Bosnia Herzegovina;0;1;Inf;3;0;MIR
BWA;19;72;72;Botswana;0;132;0.548387097;54;42;MIR
BRA;19;76;76;Brazil;0;120;0.153846154;6;0;MIR
BLZ;19;84;84;Belize;0;0;Inf;0;0;MIR
SLB;19;90;90;Solomon Islands;0;0;Inf;0;0;MIR
BRN;19;96;96;Brunei Darussalam;0;0;Inf;0;0;MIR
BGR;19;100;100;Bulgaria;0;6;0.6;9;0;MIR
MMR;19;104;104;Myanmar;0;5;0.5;1;0;MIR
BDI;19;108;108;Burundi;0;270;0.591836735;21;28;MIR
BLR;19;112;112;Belarus;0;6;0.266666667;6;0;MIR
KHM;19;116;116;Cambodia;0;0;0;0;0;MIR
CMR;19;120;120;Cameroon;0;696;0.596774194;25;38;MIR
CAN;19;124;124;Canada;0;7;0.0625;2;0;MIR
CPV;19;132;132;Cape Verde;0;0;0;0;0;MIR
CAF;19;140;140;Central African Republic;0;38;0.52173913;76;11;MIR
LKA;19;144;144;Sri Lanka;0;0;Inf;0;0;MIR
TCD;19;148;148;Chad;0;21;0.636363636;12;3;MIR
CHL;19;152;152;Chile;0;19;0.533333333;1;1;MIR
CHN;19;156;160;China;0;451;0.666666667;3;0;MIR
COL;19;170;170;Colombia;0;58;0.130434783;11;1;MIR
COM;19;174;174;Comoros;0;0;Inf;0;0;MIR
COG;19;178;178;Congo, Republic of;0;7;0.428571429;12;1;MIR
COD;19;180;180;Congo, Democratic People Republic of;0;84;0.545454545;9;1;MIR
CRI;19;188;188;Costa Rica;0;6;0.375;12;1;MIR
HRV;19;191;191;Croatia;0;1;0.125;2;0;MIR
CUB;19;192;192;Cuba;0;11;0.636363636;1;1;MIR
CYP;19;196;196;Cyprus;0;0;0;0;0;MIR
CZE;19;203;203;Czechia;0;4;0.333333333;4;0;MIR
BEN;19;204;204;Benin;0;16;0.615384615;13;1;MIR
DNK;19;208;208;Denmark;0;3;0.4;5;0;MIR
DOM;19;214;214;Dominican Republic;0;12;0.034482759;11;1;MIR
ECU;19;218;218;Ecuador;0;18;0.235294118;1;1;MIR
SLV;19;222;222;El Salvador;0;0;0;0;0;MIR
GNQ;19;226;226;Equatorial Guinea;0;27;0.458333333;18;2;MIR
ETH;19;231;231;Ethiopia;0;95;0.611111111;8;1;MIR
ERI;19;232;232;Eritrea;0;1;0.571428571;3;1;MIR
EST;19;233;233;Estonia;0;0;Inf;0;0;MIR
FJI;19;242;242;Fiji;0;0;Inf;0;0;MIR
FIN;19;246;246;Finland;0;1;0;2;0;MIR
FRA;19;250;250;France (metropolitan);0;23;0.052631579;4;0;MIR
GUF;19;254;254;French Guyana;0;0;Inf;0;0;MIR
PYF;19;258;258;French Polynesia;0;0;Inf;0;0;MIR
DJI;19;262;262;Djibouti;0;0;Inf;0;0;MIR
GAB;19;266;266;Gabon;0;32;0.551724138;14;15;MIR
GEO;19;268;268;Georgia;0;2;0.666666667;5;0;MIR
GMB;19;270;270;The Republic of the Gambia;0;4;0.551724138;16;1;MIR
PSE;19;275;275;Gaza Strip and West Bank;0;1;0.115384615;2;0;MIR
DEU;19;276;276;Germany;0;21;0.111111111;3;0;MIR
GHA;19;288;288;Ghana;0;80;0.0625;25;3;MIR
GRC;19;300;300;Greece;0;9;1;9;0;MIR
GLP;19;312;312;France, Guadeloupe;0;0;Inf;0;0;MIR
GUM;19;316;316;Guam;0;0;Inf;0;0;MIR
GTM;19;320;320;Guatemala;0;0;Inf;0;0;MIR
GIN;19;324;324;Guinea;0;22;0.558139535;16;2;MIR
GUY;19;328;328;Guyana;0;0;Inf;0;0;MIR
HTI;19;332;332;Haiti;0;16;0.339622642;14;2;MIR
HND;19;340;340;Honduras;0;0;0;0;0;MIR
HUN;19;348;348;Hungary;0;2;0.5;2;0;MIR
ISL;19;352;352;Iceland;0;0;Inf;0;0;MIR
IND;19;356;356;India;0;41;Inf;0;0;MIR
IDN;19;360;360;Indonesia;0;56;0.5;2;0;MIR
IRN;19;364;364;Iran, Islamic Republic of;0;109;0.631578947;13;1;MIR
IRQ;19;368;368;Iraq;0;17;0.318181818;4;1;MIR
IRL;19;372;372;Ireland;0;0;0;0;0;MIR
ISR;19;376;376;Israel;0;18;0.137931034;2;1;MIR
ITA;19;380;380;Italy;0;145;0.094339623;24;0;MIR
CIV;19;384;384;Côte d'Ivoire;0;126;6.454545455;45;7;MIR
JAM;19;388;388;Jamaica;0;0;Inf;0;0;MIR
JPN;19;392;392;Japan;0;1;0;0;0;MIR
KAZ;19;398;398;Kazakhstan;0;20;0.818181818;1;1;MIR
JOR;19;400;400;Jordan;0;3;0.176470588;3;0;MIR
KEN;19;404;404;Kenya;0;383;5.666666667;68;9;MIR
PRK;19;408;408;Korea, Democratic People Republic of;0;4;0.5;2;0;MIR
KOR;19;410;410;Korea, Republic of;0;16;0.2;3;0;MIR
KWT;19;414;414;Kuwait;0;0;0;0;0;MIR
KGZ;19;417;417;Kyrgyzstan;0;6;0.0625;9;1;MIR
LAO;19;418;418;Lao People's Democratic Republic;0;2;1;3;0;MIR
LBN;19;422;422;Lebanon;0;1;0.076923077;1;0;MIR
LSO;19;426;426;Lesotho;0;84;0.569230769;39;28;MIR
LVA;19;428;428;Latvia;0;0;Inf;0;0;MIR
LBR;19;430;430;Liberia;0;18;0.575342466;34;4;MIR
LBY;19;434;434;Libya;0;6;0.392857143;9;2;MIR
LTU;19;440;440;Lithuania;0;1;0.111111111;4;0;MIR
LUX;19;442;442;Luxembourg;0;0;Inf;0;0;MIR
MDG;19;450;450;Madagascar;0;0;0;0;0;MIR
MWI;19;454;454;Malawi;0;1290;6.25;64;64;MIR
MYS;19;458;458;Malaysia;0;11;0.428571429;3;0;MIR
MDV;19;462;462;Maldives;0;0;Inf;0;0;MIR
MLI;19;466;466;Mali;0;62;0.517647059;29;5;MIR
MLT;19;470;470;Malta;0;0;0;0;0;MIR
MTQ;19;474;474;France, Martinique;0;0;Inf;0;0;MIR
MRT;19;478;478;Mauritania;0;14;0.636363636;29;3;MIR
MUS;19;480;480;Mauritius;0;0;Inf;0;0;MIR
MEX;19;484;484;Mexico;0;120;0.235294118;9;1;MIR
MNG;19;496;496;Mongolia;0;3;Inf;9;1;MIR
MDA;19;498;498;Moldova;0;1;0.333333333;2;0;MIR
MNE;19;499;499;Montenegro;0;0;Inf;0;0;MIR
MAR;19;504;504;Morocco;0;64;0.68;17;1;MIR
MOZ;19;508;508;Mozambique;0;2580;0.0625;78;75;MIR
OMN;19;512;512;Oman;0;7;0.541666667;13;1;MIR
NAM;19;516;516;Namibia;0;199;0.625;76;77;MIR
NPL;19;524;524;Nepal;0;0;Inf;0;0;MIR
NLD;19;528;528;The Netherlands;0;1;0;1;0;MIR
NCL;19;540;540;New Caledonia;0;0;Inf;0;0;MIR
VUT;19;548;548;Vanuatu;0;0;Inf;0;0;MIR
NZL;19;554;554;New Zealand;0;0;0;0;0;MIR
NIC;19;558;558;Nicaragua;0;4;0.260869565;6;0;MIR
NER;19;562;562;Niger;0;16;0.615384615;6;1;MIR
NGA;19;566;566;Nigeria;0;727;41;34;4;MIR
NOR;19;578;578;Norway;0;0;0;0;0;MIR
PAK;19;586;586;Pakistan;0;47;0.75;2;1;MIR
PAN;19;591;591;Panama;0;7;0.205479452;16;1;MIR
PNG;19;598;598;Papua New Guinea;0;6;0.666666667;6;0;MIR
PRY;19;600;600;Paraguay;0;11;0.194444444;15;1;MIR
PER;19;604;604;Peru;0;74;0.215189873;22;2;MIR
PHL;19;608;608;Philippines;0;4;0;0;0;MIR
POL;19;616;616;Poland;0;19;0.285714286;5;0;MIR
PRT;19;620;620;Portugal;0;11;0.073529412;11;0;MIR
GNB;19;624;624;Guinea-Bissau;0;6;1;29;3;MIR
TLS;19;626;626;Timor-Leste;0;0;Inf;0;0;MIR
PRI;19;630;630;Puerto Rico;0;0;0;0;0;MIR
QAT;19;634;634;Qatar;0;0;0;0;0;MIR
REU;19;638;638;France, La Réunion;0;0;Inf;0;0;MIR
ROU;19;642;642;Romania;0;30;0.4375;16;1;MIR
RUS;19;643;643;Russian Federation;0;105;0.166666667;7;0;MIR
RWA;19;646;646;Rwanda;0;86;6.5;63;8;MIR
LCA;19;662;662;Saint Lucia;0;0;Inf;0;0;MIR
STP;19;678;678;Sao Tome and Principe;0;0;Inf;0;0;MIR
SAU;19;682;682;Saudi Arabia;0;22;0.230769231;6;1;MIR
SEN;19;686;686;Senegal;0;43;5.5;24;4;MIR
SRB;19;688;688;Serbia;0;6;0.307692308;7;0;MIR
SLE;19;694;694;Sierra Leone;0;0;Inf;0;0;MIR
SGP;19;702;702;Singapore;0;2;0.5;3;0;MIR
SVK;19;703;703;Slovakia;0;0;0;0;0;MIR
VNM;19;704;704;Viet Nam;0;94;0.571428571;9;1;MIR
SVN;19;705;705;Slovenia;0;0;0;0;0;MIR
SOM;19;706;706;Somalia;0;46;0.594594595;27;5;MIR
ZAF;19;710;710;South Africa;0;706;1.833333333;12;9;MIR
ZWE;19;716;716;Zimbabwe;0;656;0.578947368;43;51;MIR
ESP;19;724;724;Spain;0;40;0.078947368;9;0;MIR
SSD;19;728;728;South Sudan;0;101;6;87;12;MIR
SDN;19;729;729;Sudan;0;29;0.428571429;6;1;MIR
SUR;19;740;740;Suriname;0;0;0;0;0;MIR
SWZ;19;748;748;Eswatini;0;58;0.056818182;49;4;MIR
SWE;19;752;752;Sweden;0;1;0;1;0;MIR
CHE;19;756;756;Switzerland;0;0;0;0;0;MIR
SYR;19;760;760;Syrian Arab Republic;0;7;0.266666667;4;0;MIR
TJK;19;762;762;Tajikistan;0;0;0;0;0;MIR
THA;19;764;764;Thailand;0;27;0.375;4;0;MIR
TGO;19;768;768;Togo;0;58;5.642857143;67;7;MIR
TTO;19;780;780;Trinidad and Tobago;0;0;0;0;0;MIR
ARE;19;784;784;United Arab Emirates;0;0;0;0;0;MIR
TUN;19;788;788;Tunisia;0;18;0.268292683;15;1;MIR
TUR;19;792;792;Türkiye;0;72;1.2;8;1;MIR
TKM;19;795;795;Turkmenistan;0;2;0.8;3;1;MIR
UGA;19;800;800;Uganda;0;2238;0.567567568;46;56;MIR
UKR;19;804;804;Ukraine;0;11;0.2;3;0;MIR
MKD;19;807;807;North Macedonia;0;0;Inf;0;0;MIR
EGY;19;818;818;Egypt;0;27;3;3;1;MIR
GBR;19;826;826;United Kingdom;0;9;0.0625;1;0;MIR
TZA;19;834;834;Tanzania, United Republic of;0;817;0.058823529;13;2;MIR
USA;19;840;840;United States of America;0;108;0.083333333;3;0;MIR
BFA;19;854;854;Burkina Faso;0;65;0.6875;29;4;MIR
URY;19;858;858;Uruguay;0;1;0.107142857;3;0;MIR
UZB;19;860;860;Uzbekistan;0;38;0.75;11;1;MIR
VEN;19;862;862;Venezuela;0;35;0.177419355;12;1;MIR
WSM;19;882;882;Samoa;0;0;Inf;0;0;MIR
YEM;19;887;887;Yemen;0;6;0.333333333;2;0;MIR
ZMB;19;894;894;Zambia;0;1475;0.605095541;76;83;MIR
;;;;Total;;16163;0.463414634;21;2;MIR
AFG;29;4;4;Afghanistan;0;354;0.666666667;87;19;MIR
ALB;29;8;8;Albania;0;80;0.428571429;28;18;MIR
DZA;29;12;12;Algeria;0;371;5.125;82;9;MIR
AGO;29;24;24;Angola;0;331;0.684210526;94;9;MIR
AZE;29;31;31;Azerbaijan;0;181;0.535714286;18;16;MIR
ARG;29;32;32;Argentina;0;2385;0.444444444;52;43;MIR
AUS;29;36;36;Australia;0;1231;0.021052632;47;21;MIR
AUT;29;40;40;Austria;0;641;0.307692308;71;27;MIR
BHS;29;44;44;Bahamas;0;2;3;5;6;MIR
BHR;29;48;48;Bahrain;0;10;4.043478261;56;13;MIR
BGD;29;50;50;Bangladesh;0;969;0.684210526;58;7;MIR
ARM;29;51;51;Armenia;0;112;0.5;38;25;MIR
BRB;29;52;52;Barbados;0;14;0.509803922;49;3;MIR
BEL;29;56;56;Belgium;0;720;0.256097561;62;23;MIR
BTN;29;64;64;Bhutan;0;1;0.5625;13;3;MIR
BOL;29;68;68;Bolivia;0;212;5;18;15;MIR
BIH;29;70;70;Bosnia Herzegovina;0;158;0.41509434;49;27;MIR
BWA;29;72;72;Botswana;0;9;0.494736842;37;5;MIR
BRA;29;76;76;Brazil;0;4460;0.384615385;21;17;MIR
BLZ;29;84;84;Belize;0;2;4.4375;49;1;MIR
SLB;29;90;90;Solomon Islands;0;0;0;0;0;MIR
BRN;29;96;96;Brunei Darussalam;0;8;4.25;18;22;MIR
BGR;29;100;100;Bulgaria;0;396;4.333333333;58;31;MIR
MMR;29;104;104;Myanmar;0;364;69;66;7;MIR
BDI;29;108;108;Burundi;0;91;8;72;9;MIR
BLR;29;112;112;Belarus;0;667;0.262411348;71;48;MIR
KHM;29;116;116;Cambodia;0;114;5.538461538;66;6;MIR
CMR;29;120;120;Cameroon;0;115;0.761904762;41;7;MIR
CAN;29;124;124;Canada;0;2677;0.229357798;7;25;MIR
CPV;29;132;132;Cape Verde;0;6;1.083333333;11;19;MIR
CAF;29;140;140;Central African Republic;0;25;0.636363636;5;8;MIR
LKA;29;144;144;Sri Lanka;0;181;4.583333333;84;6;MIR
TCD;29;148;148;Chad;0;125;0.75;72;13;MIR
CHL;29;152;152;Chile;0;1052;0.407894737;55;36;MIR
CHN;29;156;160;China;0;23991;2.935483871;17;1;MIR
COL;29;170;170;Colombia;0;829;0.315789474;16;14;MIR
COM;29;174;174;Comoros;0;3;0.586956522;33;1;MIR
COG;29;178;178;Congo, Republic of;0;18;0.462686567;31;3;MIR
COD;29;180;180;Congo, Democratic People Republic of;0;617;0.818181818;65;9;MIR
CRI;29;188;188;Costa Rica;0;105;0.5;2;15;MIR
HRV;29;191;191;Croatia;0;396;0.339805825;98;4;MIR
CUB;29;192;192;Cuba;0;319;0.382352941;28;15;MIR
CYP;29;196;196;Cyprus;0;39;0.319148936;32;17;MIR
CZE;29;203;203;Czechia;0;992;0.270676692;92;42;MIR
BEN;29;204;204;Benin;0;58;6.833333333;45;13;MIR
DNK;29;208;208;Denmark;0;325;1.909090909;56;24;MIR
DOM;29;214;214;Dominican Republic;0;56;3.285714286;51;5;MIR
ECU;29;218;218;Ecuador;0;241;0.387096774;13;14;MIR
SLV;29;222;222;El Salvador;0;64;4;98;1;MIR
GNQ;29;226;226;Equatorial Guinea;0;3;0.580246914;2;6;MIR
ETH;29;231;231;Ethiopia;0;1223;0.727272727;1;16;MIR
ERI;29;232;232;Eritrea;0;38;0.761904762;1;18;MIR
EST;29;233;233;Estonia;0;133;0.333333333;101;4;MIR
FJI;29;242;242;Fiji;0;0;0;0;0;MIR
FIN;29;246;246;Finland;0;343;0.213483146;62;22;MIR
FRA;29;250;250;France (metropolitan);0;5058;0.245614035;77;3;MIR
GUF;29;254;254;French Guyana;0;2;2.76;64;9;MIR
PYF;29;258;258;French Polynesia;0;5;0.382352941;18;18;MIR
DJI;29;262;262;Djibouti;0;10;0.631578947;98;16;MIR
GAB;29;266;266;Gabon;0;15;5.8;64;1;MIR
GEO;29;268;268;Georgia;0;167;0.52173913;42;29;MIR
GMB;29;270;270;The Republic of the Gambia;0;0;0;0;0;MIR
PSE;29;275;275;Gaza Strip and West Bank;0;54;0.545454545;1;2;MIR
DEU;29;276;276;Germany;0;7856;3;94;29;MIR
GHA;29;288;288;Ghana;0;218;7.615384615;67;9;MIR
GRC;29;300;300;Greece;0;684;0.256097561;66;22;MIR
GLP;29;312;312;France, Guadeloupe;0;6;2.52173913;15;11;MIR
GUM;29;316;316;Guam;0;2;34;12;5;MIR
GTM;29;320;320;Guatemala;0;125;46;67;11;MIR
GIN;29;324;324;Guinea;0;37;0.548387097;27;3;MIR
GUY;29;328;328;Guyana;0;8;5.105263158;1;15;MIR
HTI;29;332;332;Haiti;0;87;4;74;9;MIR
HND;29;340;340;Honduras;0;117;0.590909091;11;11;MIR
HUN;29;348;348;Hungary;0;731;0.288288288;76;37;MIR
ISL;29;352;352;Iceland;0;18;0.213592233;52;25;MIR
IND;29;356;356;India;0;10464;5.769230769;74;9;MIR
IDN;29;360;360;Indonesia;0;1563;5.888888889;56;7;MIR
IRN;29;364;364;Iran, Islamic Republic of;0;727;3.52173913;85;9;MIR
IRQ;29;368;368;Iraq;0;448;0.580645161;11;2;MIR
IRL;29;372;372;Ireland;0;261;0.230769231;52;24;MIR
