Alpha-3 code;Cancer code;Population code (ISO/UN);Country;Label;Sex;Number;MIR;Crude rate;Cumulative risk;indicator
PYF;30;258;258;French Polynesia;0;9;0.534883721;32;31;MIR
DJI;30;262;262;Djibouti;0;11;0.666666667;11;19;MIR
GAB;30;266;266;Gabon;0;11;0.444444444;47;6;MIR
GEO;30;268;268;Georgia;0;314;0.507042254;79;41;MIR
GMB;30;270;270;The Republic of the Gambia;0;9;6.461538462;35;12;MIR
PSE;30;275;275;Gaza Strip and West Bank;0;92;0.515151515;17;36;MIR
DEU;30;276;276;Germany;0;9180;0.217741935;109;27;MIR
GHA;30;288;288;Ghana;0;259;0.5;8;16;MIR
GRC;30;300;300;Greece;0;1554;0.215469613;151;4;MIR
GLP;30;312;312;France, Guadeloupe;0;10;2.294117647;25;9;MIR
GUM;30;316;316;Guam;0;3;0.666666667;18;13;MIR
GTM;30;320;320;Guatemala;0;62;0.530864198;33;5;MIR
GIN;30;324;324;Guinea;0;29;0.61038961;21;5;MIR
GUY;30;328;328;Guyana;0;3;2.818181818;38;2;MIR
HTI;30;332;332;Haiti;0;120;0.392857143;1;4;MIR
HND;30;340;340;Honduras;0;72;4.388888889;7;8;MIR
HUN;30;348;348;Hungary;0;1063;0.275167785;111;49;MIR
ISL;30;352;352;Iceland;0;18;0.157024793;52;17;MIR
IND;30;356;356;India;0;12353;5.4375;88;1;MIR
IDN;30;360;360;Indonesia;0;3207;0.423076923;12;11;MIR
IRN;30;364;364;Iran, Islamic Republic of;0;1955;0.309859155;23;19;MIR
IRQ;30;368;368;Iraq;0;726;0.5;17;36;MIR
IRL;30;372;372;Ireland;0;288;0.229166667;57;17;MIR
ISR;30;376;376;Israel;0;504;0.189781022;57;22;MIR
ITA;30;380;380;Italy;0;8254;0.171270718;137;3;MIR
CIV;30;384;384;Côte d'Ivoire;0;67;0.556818182;24;6;MIR
JAM;30;388;388;Jamaica;0;67;5.333333333;22;17;MIR
JPN;30;392;392;Japan;0;10928;2.142857143;87;12;MIR
KAZ;30;398;398;Kazakhstan;0;290;0.363636364;15;15;MIR
JOR;30;400;400;Jordan;0;252;0.425287356;25;39;MIR
KEN;30;404;404;Kenya;0;272;0.565217391;48;11;MIR
PRK;30;408;408;Korea, Democratic People Republic of;0;770;0.048780488;3;24;MIR
KOR;30;410;410;Korea, Republic of;0;2017;0.265306122;39;1;MIR
KWT;30;414;414;Kuwait;0;46;0.413043478;11;15;MIR
KGZ;30;417;417;Kyrgyzstan;0;59;0.5;88;14;MIR
LAO;30;418;418;Lao People's Democratic Republic;0;49;5;65;1;MIR
LBN;30;422;422;Lebanon;0;328;0.438202247;49;4;MIR
LSO;30;426;426;Lesotho;0;16;6.125;74;7;MIR
LVA;30;428;428;Latvia;0;219;0.324324324;119;43;MIR
LBR;30;430;430;Liberia;0;11;0.611940299;21;5;MIR
LBY;30;434;434;Libya;0;266;0.586206897;38;44;MIR
LTU;30;440;440;Lithuania;0;267;0.371794872;10;34;MIR
LUX;30;442;442;Luxembourg;0;39;3.285714286;61;2;MIR
MDG;30;450;450;Madagascar;0;438;0.6;15;32;MIR
MWI;30;454;454;Malawi;0;466;0.625;23;54;MIR
MYS;30;458;458;Malaysia;0;408;0.423076923;12;1;MIR
MDV;30;462;462;Maldives;0;3;3.526315789;55;0;MIR
MLI;30;466;466;Mali;0;448;0.602564103;21;54;MIR
MLT;30;470;470;Malta;0;38;0.245098039;86;23;MIR
MTQ;30;474;474;France, Martinique;0;16;0.333333333;43;11;MIR
MRT;30;478;478;Mauritania;0;37;0.608695652;75;15;MIR
MUS;30;480;480;Mauritius;0;30;0.387096774;24;11;MIR
MEX;30;484;484;Mexico;0;1404;3.44;11;8;MIR
MNG;30;496;496;Mongolia;0;22;5.375;65;9;MIR
MDA;30;498;498;Moldova;0;229;0.444444444;57;39;MIR
MNE;30;499;499;Montenegro;0;48;3.875;76;28;MIR
MAR;30;504;504;Morocco;0;1222;0.549019608;32;3;MIR
MOZ;30;508;508;Mozambique;0;540;0.672727273;16;4;MIR
OMN;30;512;512;Oman;0;70;0.5;13;3;MIR
NAM;30;516;516;Namibia;0;27;0.548387097;1;15;MIR
NPL;30;524;524;Nepal;0;221;4.941176471;73;9;MIR
NLD;30;528;528;The Netherlands;0;1920;0.189655172;112;32;MIR
NCL;30;540;540;New Caledonia;0;9;0.023809524;31;17;MIR
VUT;30;548;548;Vanuatu;0;3;8;93;21;MIR
NZL;30;554;554;New Zealand;0;281;0.034482759;57;19;MIR
NIC;30;558;558;Nicaragua;0;36;4.833333333;53;6;MIR
