Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk,indicator
CMR,14,120,120,Cameroon,0,38,0.28,0.14,0.04,incidence
CAN,14,124,124,Canada,0,992,1.2,2.6,0.15,incidence
CPV,14,132,132,Cape Verde,0,6,1.2,1.1,0.16,incidence
CAF,14,140,140,Central African Republic,0,13,0.55,0.26,0.07,incidence
LKA,14,144,144,Sri Lanka,0,799,2.5,3.7,0.32,incidence
TCD,14,148,148,Chad,0,56,0.39,0.32,0.03,incidence
CHL,14,152,152,Chile,0,245,0.71,1.3,0.08,incidence
CHN,14,156,160,China,0,29461,1.2,2.1,0.15,incidence
COL,14,170,170,Colombia,0,954,1.4,1.9,0.17,incidence
COM,14,174,174,Comoros,0,2,0.44,0.22,0.06,incidence
COG,14,178,178,"Congo, Republic of",0,16,0.52,0.28,0.07,incidence
COD,14,180,180,"Congo, Democratic People Republic of",0,277,0.59,0.29,0.07,incidence
CRI,14,188,188,Costa Rica,0,82,1.1,1.6,0.13,incidence
HRV,14,191,191,Croatia,0,267,3.1,6.6,0.41,incidence
CUB,14,192,192,Cuba,0,1846,8.3,16.3,1.1,incidence
CYP,14,196,196,Cyprus,0,44,2.1,3.6,0.3,incidence
CZE,14,203,203,Czechia,0,465,2.1,4.3,0.28,incidence
BEN,14,204,204,Benin,0,32,0.44,0.25,0.04,incidence
DNK,14,208,208,Denmark,0,235,1.9,4,0.25,incidence
DOM,14,214,214,Dominican Republic,0,321,2.7,2.9,0.33,incidence
ECU,14,218,218,Ecuador,0,148,0.75,0.82,0.09,incidence
SLV,14,222,222,El Salvador,0,48,0.59,0.73,0.06,incidence
GNQ,14,226,226,Equatorial Guinea,0,9,1.4,0.6,0.19,incidence
ETH,14,231,231,Ethiopia,0,483,0.71,0.4,0.08,incidence
ERI,14,232,232,Eritrea,0,19,0.83,0.52,0.1,incidence
EST,14,233,233,Estonia,0,61,2.3,4.6,0.31,incidence
FJI,14,242,242,Fiji,0,16,1.7,1.8,0.17,incidence
FIN,14,246,246,Finland,0,121,0.92,2.2,0.12,incidence
FRA,14,250,250,France (metropolitan),0,3276,2.4,5,0.31,incidence
GUF,14,254,254,French Guyana,0,5,1.8,1.6,0.2,incidence
PYF,14,258,258,French Polynesia,0,9,2.4,3.2,0.3,incidence
DJI,14,262,262,Djibouti,0,6,0.75,0.59,0.11,incidence
GAB,14,266,266,Gabon,0,33,2.3,1.4,0.29,incidence
GEO,14,268,268,Georgia,0,297,4.4,7.5,0.55,incidence
GMB,14,270,270,The Republic of the Gambia,0,7,0.57,0.27,0.06,incidence
PSE,14,275,275,Gaza Strip and West Bank,0,78,2.6,1.5,0.32,incidence
DEU,14,276,276,Germany,0,3705,1.8,4.4,0.23,incidence
GHA,14,288,288,Ghana,0,227,1.1,0.7,0.13,incidence
GRC,14,300,300,Greece,0,849,3.5,8.2,0.44,incidence
GLP,14,312,312,"France, Guadeloupe",0,20,2.4,5,0.31,incidence
GUM,14,316,316,Guam,0,2,0.82,1.2,0.17,incidence
GTM,14,320,320,Guatemala,0,88,0.61,0.47,0.07,incidence
GIN,14,324,324,Guinea,0,64,0.93,0.46,0.1,incidence
GUY,14,328,328,Guyana,0,11,1.3,1.4,0.18,incidence
HTI,14,332,332,Haiti,0,92,0.98,0.79,0.1,incidence
HND,14,340,340,Honduras,0,268,3.5,2.6,0.44,incidence
HUN,14,348,348,Hungary,0,815,4.5,8.5,0.58,incidence
ISL,14,352,352,Iceland,0,8,1.1,2.3,0.18,incidence
IND,14,356,356,India,0,35855,2.5,2.6,0.31,incidence
IDN,14,360,360,Indonesia,0,4000,1.4,1.4,0.16,incidence
IRN,14,364,364,"Iran, Islamic Republic of",0,2762,3,3.2,0.38,incidence
IRQ,14,368,368,Iraq,0,544,2.4,1.3,0.29,incidence
IRL,14,372,372,Ireland,0,203,2.3,4,0.29,incidence
ISR,14,376,376,Israel,0,195,1.6,2.2,0.2,incidence
ITA,14,380,380,Italy,0,4275,2.9,7.1,0.36,incidence
CIV,14,384,384,Côte d'Ivoire,0,137,1,0.49,0.12,incidence
JAM,14,388,388,Jamaica,0,59,1.5,2,0.17,incidence
JPN,14,392,392,Japan,0,5156,1.4,4.1,0.18,incidence
KAZ,14,398,398,Kazakhstan,0,505,2.3,2.6,0.29,incidence
JOR,14,400,400,Jordan,0,233,3.1,2.3,0.37,incidence
KEN,14,404,404,Kenya,0,366,1.3,0.65,0.17,incidence
PRK,14,408,408,"Korea, Democratic People Republic of",0,581,1.5,2.2,0.2,incidence
KOR,14,410,410,"Korea, Republic of",0,1256,1.1,2.5,0.15,incidence
KWT,14,414,414,Kuwait,0,47,1.4,1.1,0.16,incidence
KGZ,14,417,417,Kyrgyzstan,0,80,1.4,1.2,0.21,incidence
LAO,14,418,418,Lao People's Democratic Republic,0,74,1.3,0.99,0.16,incidence
LBN,14,422,422,Lebanon,0,165,2.2,2.5,0.27,incidence
LSO,14,426,426,Lesotho,0,11,0.69,0.51,0.08,incidence
LVA,14,428,428,Latvia,0,109,2.9,5.9,0.39,incidence
LBR,14,430,430,Liberia,0,27,0.87,0.51,0.1,incidence
LBY,14,434,434,Libya,0,172,3,2.4,0.34,incidence
LTU,14,440,440,Lithuania,0,190,3.6,7.1,0.47,incidence
LUX,14,442,442,Luxembourg,0,23,2.1,3.6,0.3,incidence
MDG,14,450,450,Madagascar,0,114,0.68,0.39,0.08,incidence
MWI,14,454,454,Malawi,0,61,0.69,0.3,0.08,incidence
MYS,14,458,458,Malaysia,0,624,1.7,1.9,0.2,incidence
MDV,14,462,462,Maldives,0,5,1.3,0.92,0.17,incidence
MLI,14,466,466,Mali,0,78,0.82,0.36,0.1,incidence
MLT,14,470,470,Malta,0,24,2.5,5.4,0.32,incidence
MTQ,14,474,474,"France, Martinique",0,8,0.89,2.1,0.11,incidence
MRT,14,478,478,Mauritania,0,18,0.65,0.37,0.08,incidence
MUS,14,480,480,Mauritius,0,35,1.7,2.8,0.22,incidence
MEX,14,484,484,Mexico,0,1139,0.75,0.87,0.09,incidence
MNG,14,496,496,Mongolia,0,35,1.2,1,0.15,incidence
MDA,14,498,498,Moldova,0,337,5.5,8.4,0.67,incidence
MNE,14,499,499,Montenegro,0,49,4,7.8,0.5,incidence
MAR,14,504,504,Morocco,0,1195,2.8,3.2,0.35,incidence
MOZ,14,508,508,Mozambique,0,76,0.42,0.23,0.05,incidence
OMN,14,512,512,Oman,0,41,1.2,0.77,0.14,incidence
NAM,14,516,516,Namibia,0,36,2.4,1.4,0.33,incidence
NPL,14,524,524,Nepal,0,458,1.8,1.5,0.22,incidence
NLD,14,528,528,The Netherlands,0,660,1.7,3.8,0.22,incidence
NCL,14,540,540,New Caledonia,0,10,2.6,3.4,0.37,incidence
VUT,14,548,548,Vanuatu,0,4,1.6,1.2,0.14,incidence
NZL,14,554,554,New Zealand,0,132,1.4,2.7,0.18,incidence
NIC,14,558,558,Nicaragua,0,79,1.3,1.2,0.17,incidence
NER,14,562,562,Niger,0,68,0.59,0.26,0.07,incidence
NGA,14,566,566,Nigeria,0,838,0.79,0.39,0.1,incidence
NOR,14,578,578,Norway,0,115,0.98,2.1,0.12,incidence
PAK,14,586,586,Pakistan,0,3987,2.4,1.7,0.29,incidence
PAN,14,591,591,Panama,0,41,0.68,0.92,0.08,incidence
PNG,14,598,598,Papua New Guinea,0,121,2.1,1.3,0.22,incidence
PRY,14,600,600,Paraguay,0,121,1.8,1.7,0.21,incidence
PER,14,604,604,Peru,0,248,0.58,0.74,0.07,incidence
PHL,14,608,608,Philippines,0,1932,2,1.7,0.25,incidence
POL,14,616,616,Poland,0,2983,4.3,7.9,0.53,incidence
PRT,14,620,620,Portugal,0,726,3.5,7.2,0.43,incidence
GNB,14,624,624,Guinea-Bissau,0,3,0.32,0.15,0.04,incidence
TLS,14,626,626,Timor-Leste,0,6,0.65,0.44,0.09,incidence
PRI,14,630,630,Puerto Rico,0,127,1.9,4.5,0.25,incidence
QAT,14,634,634,Qatar,0,18,0.76,0.6,0.11,incidence
REU,14,638,638,"France, La Réunion",0,40,2.8,4.4,0.34,incidence
ROU,14,642,642,Romania,0,1804,5.1,9.5,0.63,incidence
RUS,14,643,643,Russian Federation,0,7172,2.9,4.9,0.37,incidence
RWA,14,646,646,Rwanda,0,70,0.93,0.51,0.13,incidence
LCA,14,662,662,Saint Lucia,0,3,1.1,1.6,0.12,incidence
STP,14,678,678,Sao Tome and Principe,0,2,1.6,0.88,0.18,incidence
SAU,14,682,682,Saudi Arabia,0,219,0.76,0.61,0.09,incidence
SEN,14,686,686,Senegal,0,59,0.65,0.33,0.08,incidence
SRB,14,688,688,Serbia,0,637,4.1,7.4,0.49,incidence
SLE,14,694,694,Sierra Leone,0,0,0,0,0,incidence
SGP,14,702,702,Singapore,0,176,1.5,3,0.18,incidence
SVK,14,703,703,Slovakia,0,299,3,5.5,0.39,incidence
VNM,14,704,704,Viet Nam,0,2186,1.8,2.2,0.21,incidence
SVN,14,705,705,Slovenia,0,123,2.8,5.9,0.37,incidence
SOM,14,706,706,Somalia,0,89,1.2,0.53,0.14,incidence
ZAF,14,710,710,South Africa,0,991,1.9,1.6,0.24,incidence
ZWE,14,716,716,Zimbabwe,0,89,1.2,0.58,0.16,incidence
ESP,14,724,724,Spain,0,3042,3.1,6.5,0.4,incidence
SSD,14,728,728,South Sudan,0,61,0.99,0.53,0.12,incidence
SDN,14,729,729,Sudan,0,302,1.1,0.66,0.13,incidence
SUR,14,740,740,Suriname,0,6,0.83,1,0.06,incidence
SWZ,14,748,748,Eswatini,0,2,0.27,0.17,0.03,incidence
SWE,14,752,752,Sweden,0,160,0.69,1.6,0.09,incidence
CHE,14,756,756,Switzerland,0,231,1.3,2.6,0.17,incidence
SYR,14,760,760,Syrian Arab Republic,0,427,2.9,2.2,0.34,incidence
TJK,14,762,762,Tajikistan,0,20,0.31,0.2,0.03,incidence
THA,14,764,764,Thailand,0,1694,1.3,2.4,0.16,incidence
TGO,14,768,768,Togo,0,55,1.2,0.63,0.14,incidence
TTO,14,780,780,Trinidad and Tobago,0,29,1.3,2.1,0.13,incidence
ARE,14,784,784,United Arab Emirates,0,54,1.4,0.54,0.16,incidence
TUN,14,788,788,Tunisia,0,484,3.1,4,0.39,incidence
TUR,14,792,792,Türkiye,0,3972,3.8,4.6,0.47,incidence
TKM,14,795,795,Turkmenistan,0,65,1.2,1.1,0.15,incidence
UGA,14,800,800,Uganda,0,243,1.4,0.5,0.17,incidence
UKR,14,804,804,Ukraine,0,2592,3.5,6,0.44,incidence
MKD,14,807,807,North Macedonia,0,120,3.4,5.8,0.41,incidence
EGY,14,818,818,Egypt,0,1814,2.1,1.7,0.26,incidence
GBR,14,826,826,United Kingdom,0,2335,1.7,3.4,0.21,incidence
TZA,14,834,834,"Tanzania, United Republic of",0,267,0.96,0.42,0.11,incidence
USA,14,840,840,United States of America,0,12172,2,3.6,0.25,incidence
BFA,14,854,854,Burkina Faso,0,90,0.87,0.41,0.13,incidence
URY,14,858,858,Uruguay,0,177,3.1,5.1,0.4,incidence
UZB,14,860,860,Uzbekistan,0,154,0.48,0.45,0.06,incidence
VEN,14,862,862,Venezuela,0,779,2.3,2.7,0.29,incidence
WSM,14,882,882,Samoa,0,3,1.8,1.5,0.25,incidence
YEM,14,887,887,Yemen,0,311,2,1,0.21,incidence
ZMB,14,894,894,Zambia,0,95,1.1,0.49,0.14,incidence
,,,,Total,,189077,1.9,2.4,0.24,incidence
AFG,1,4,4,Afghanistan,0,1011,4.6,2.5,0.53,incidence
ALB,1,8,8,Albania,0,97,1.7,3.4,0.17,incidence
DZA,1,12,12,Algeria,0,343,0.75,0.76,0.09,incidence
AGO,1,24,24,Angola,0,577,3.4,1.7,0.41,incidence
AZE,1,31,31,Azerbaijan,0,209,1.8,2,0.19,incidence
ARG,1,32,32,Argentina,0,1236,2,2.7,0.24,incidence
AUS,1,36,36,Australia,0,2730,6,10.5,0.71,incidence
AUT,1,40,40,Austria,0,632,3.4,7,0.41,incidence
BHS,1,44,44,Bahamas,0,6,1.2,1.5,0.15,incidence
BHR,1,48,48,Bahrain,0,27,1.9,1.5,0.27,incidence
BGD,1,50,50,Bangladesh,0,16083,10.3,9.6,1.2,incidence
ARM,1,51,51,Armenia,0,71,1.6,2.4,0.2,incidence
BRB,1,52,52,Barbados,0,12,1.6,4.2,0.13,incidence
BEL,1,56,56,Belgium,0,1100,4.7,9.4,0.59,incidence
BTN,1,64,64,Bhutan,0,22,3.1,2.8,0.4,incidence
BOL,1,68,68,Bolivia,0,71,0.59,0.59,0.1,incidence
BIH,1,70,70,Bosnia Herzegovina,0,151,2.3,4.7,0.28,incidence
BWA,1,72,72,Botswana,0,73,4,3,0.45,incidence
BRA,1,76,76,Brazil,0,11029,3.8,5.1,0.41,incidence
BLZ,1,84,84,Belize,0,0,0,0,0,incidence
SLB,1,90,90,Solomon Islands,0,12,2.4,1.7,0.25,incidence
BRN,1,96,96,Brunei Darussalam,0,2,0.41,0.45,0.05,incidence
BGR,1,100,100,Bulgaria,0,411,3,6,0.35,incidence
MMR,1,104,104,Myanmar,0,2495,4.4,4.5,0.47,incidence
BDI,1,108,108,Burundi,0,101,1.8,0.8,0.2,incidence
BLR,1,112,112,Belarus,0,908,5.6,9.6,0.67,incidence
KHM,1,116,116,Cambodia,0,523,3.9,3.1,0.4,incidence
CMR,1,120,120,Cameroon,0,237,1.7,0.85,0.2,incidence
CAN,1,124,124,Canada,0,3414,4.4,8.9,0.53,incidence
CPV,1,132,132,Cape Verde,0,19,4,3.4,0.54,incidence
CAF,1,140,140,Central African Republic,0,37,1.4,0.74,0.16,incidence
LKA,1,144,144,Sri Lanka,0,2556,8.1,11.9,0.95,incidence
TCD,1,148,148,Chad,0,155,1.7,0.89,0.19,incidence
CHL,1,152,152,Chile,0,349,1.2,1.8,0.12,incidence
CHN,1,156,160,China,0,37208,1.5,2.6,0.18,incidence
COL,1,170,170,Colombia,0,890,1.3,1.7,0.14,incidence
COM,1,174,174,Comoros,0,7,1.5,0.77,0.16,incidence
COG,1,178,178,"Congo, Republic of",0,20,0.61,0.34,0.08,incidence
COD,1,180,180,"Congo, Democratic People Republic of",0,526,1.1,0.55,0.11,incidence
CRI,1,188,188,Costa Rica,0,107,1.4,2.1,0.16,incidence
HRV,1,191,191,Croatia,0,293,3.3,7.2,0.41,incidence
CUB,1,192,192,Cuba,0,1059,5,9.4,0.59,incidence
CYP,1,196,196,Cyprus,0,41,2,3.4,0.23,incidence
CZE,1,203,203,Czechia,0,955,4.4,8.9,0.54,incidence
BEN,1,204,204,Benin,0,80,1.1,0.63,0.12,incidence
DNK,1,208,208,Denmark,0,449,3.8,7.7,0.47,incidence
DOM,1,214,214,Dominican Republic,0,161,1.3,1.5,0.15,incidence
ECU,1,218,218,Ecuador,0,244,1.2,1.4,0.13,incidence
SLV,1,222,222,El Salvador,0,98,1.2,1.5,0.1,incidence
GNQ,1,226,226,Equatorial Guinea,0,18,2.7,1.2,0.33,incidence
ETH,1,231,231,Ethiopia,0,1038,1.4,0.86,0.16,incidence
ERI,1,232,232,Eritrea,0,40,1.7,1.1,0.19,incidence
EST,1,233,233,Estonia,0,101,4.2,7.6,0.51,incidence
FJI,1,242,242,Fiji,0,29,3.1,3.2,0.32,incidence
FIN,1,246,246,Finland,0,514,4,9.3,0.47,incidence
FRA,1,250,250,France (metropolitan),0,7195,5.6,11,0.68,incidence
GUF,1,254,254,French Guyana,0,4,1.3,1.3,0.16,incidence
PYF,1,258,258,French Polynesia,0,13,3.3,4.6,0.36,incidence
DJI,1,262,262,Djibouti,0,14,1.6,1.4,0.21,incidence
GAB,1,266,266,Gabon,0,51,3.5,2.2,0.39,incidence
GEO,1,268,268,Georgia,0,208,3,5.2,0.35,incidence
GMB,1,270,270,The Republic of the Gambia,0,5,0.34,0.2,0.04,incidence
PSE,1,275,275,Gaza Strip and West Bank,0,38,1.2,0.71,0.16,incidence
DEU,1,276,276,Germany,0,5642,2.8,6.7,0.34,incidence
GHA,1,288,288,Ghana,0,220,1,0.68,0.11,incidence
GRC,1,300,300,Greece,0,688,2.9,6.7,0.31,incidence
GLP,1,312,312,"France, Guadeloupe",0,25,3.5,6.3,0.42,incidence
GUM,1,316,316,Guam,0,5,2,2.9,0.22,incidence
GTM,1,320,320,Guatemala,0,136,0.87,0.73,0.08,incidence
GIN,1,324,324,Guinea,0,83,1.1,0.6,0.11,incidence
GUY,1,328,328,Guyana,0,10,1.1,1.3,0.14,incidence
HTI,1,332,332,Haiti,0,135,1.3,1.2,0.12,incidence
HND,1,340,340,Honduras,0,90,1.1,0.88,0.12,incidence
HUN,1,348,348,Hungary,0,1136,6.3,11.8,0.78,incidence
ISL,1,352,352,Iceland,0,20,2.8,5.8,0.29,incidence
IND,1,356,356,India,0,143759,9.9,10.2,1.1,incidence
IDN,1,360,360,Indonesia,0,6515,2.2,2.3,0.25,incidence
IRN,1,364,364,"Iran, Islamic Republic of",0,1307,1.4,1.5,0.16,incidence
IRQ,1,368,368,Iraq,0,293,1.2,0.69,0.13,incidence
IRL,1,372,372,Ireland,0,340,4.1,6.8,0.5,incidence
ISR,1,376,376,Israel,0,231,1.7,2.6,0.18,incidence
ITA,1,380,380,Italy,0,4881,3.3,8.1,0.36,incidence
CIV,1,384,384,Côte d'Ivoire,0,201,1.3,0.72,0.13,incidence
JAM,1,388,388,Jamaica,0,32,0.81,1.1,0.08,incidence
JPN,1,392,392,Japan,0,11088,3.1,8.8,0.35,incidence
KAZ,1,398,398,Kazakhstan,0,602,2.7,3.1,0.33,incidence
JOR,1,400,400,Jordan,0,104,1.3,1,0.14,incidence
KEN,1,404,404,Kenya,0,751,2.7,1.3,0.31,incidence
PRK,1,408,408,"Korea, Democratic People Republic of",0,337,0.89,1.3,0.1,incidence
KOR,1,410,410,"Korea, Republic of",0,1697,1.6,3.3,0.19,incidence
KWT,1,414,414,Kuwait,0,65,1.5,1.5,0.19,incidence
KGZ,1,417,417,Kyrgyzstan,0,106,1.9,1.6,0.2,incidence
LAO,1,418,418,Lao People's Democratic Republic,0,210,3.7,2.8,0.39,incidence
LBN,1,422,422,Lebanon,0,89,1.1,1.3,0.13,incidence
LSO,1,426,426,Lesotho,0,29,1.8,1.3,0.23,incidence
LVA,1,428,428,Latvia,0,154,4.4,8.3,0.53,incidence
LBR,1,430,430,Liberia,0,39,1.2,0.74,0.13,incidence
LBY,1,434,434,Libya,0,72,1.2,1,0.15,incidence
LTU,1,440,440,Lithuania,0,257,5.1,9.7,0.61,incidence
LUX,1,442,442,Luxembourg,0,22,1.8,3.4,0.2,incidence
MDG,1,450,450,Madagascar,0,383,2.3,1.3,0.24,incidence
MWI,1,454,454,Malawi,0,178,1.5,0.88,0.18,incidence
MYS,1,458,458,Malaysia,0,826,2.3,2.5,0.26,incidence
MDV,1,462,462,Maldives,0,4,1.1,0.74,0.14,incidence
MLI,1,466,466,Mali,0,253,2.4,1.2,0.27,incidence
MLT,1,470,470,Malta,0,34,3.5,7.7,0.37,incidence
MTQ,1,474,474,"France, Martinique",0,18,2.1,4.8,0.27,incidence
MRT,1,478,478,Mauritania,0,50,1.7,1,0.18,incidence
MUS,1,480,480,Mauritius,0,64,3.1,5,0.36,incidence
MEX,1,484,484,Mexico,0,1560,1,1.2,0.12,incidence
MNG,1,496,496,Mongolia,0,39,1.5,1.2,0.16,incidence
MDA,1,498,498,Moldova,0,276,4.4,6.9,0.54,incidence
MNE,1,499,499,Montenegro,0,25,2.2,4,0.25,incidence
MAR,1,504,504,Morocco,0,705,1.7,1.9,0.18,incidence
MOZ,1,508,508,Mozambique,0,240,1.2,0.73,0.13,incidence
OMN,1,512,512,Oman,0,75,1.8,1.4,0.2,incidence
NAM,1,516,516,Namibia,0,107,6.5,4.1,0.72,incidence
NPL,1,524,524,Nepal,0,959,3.6,3.2,0.41,incidence
NLD,1,528,528,The Netherlands,0,1568,4.1,9.1,0.49,incidence
NCL,1,540,540,New Caledonia,0,18,4.5,6.2,0.55,incidence
VUT,1,548,548,Vanuatu,0,5,2.1,1.6,0.2,incidence
NZL,1,554,554,New Zealand,0,359,4,7.3,0.46,incidence
NIC,1,558,558,Nicaragua,0,37,0.59,0.55,0.06,incidence
NER,1,562,562,Niger,0,182,1.5,0.7,0.17,incidence
NGA,1,566,566,Nigeria,0,1422,1.4,0.66,0.16,incidence
NOR,1,578,578,Norway,0,483,4.2,8.8,0.49,incidence
PAK,1,586,586,Pakistan,0,15915,9.2,6.9,1,incidence
PAN,1,591,591,Panama,0,60,1.1,1.4,0.13,incidence
PNG,1,598,598,Papua New Guinea,0,1152,17.5,12.4,2,incidence
PRY,1,600,600,Paraguay,0,121,1.8,1.7,0.2,incidence
PER,1,604,604,Peru,0,697,1.7,2.1,0.19,incidence
PHL,1,608,608,Philippines,0,1916,1.9,1.7,0.23,incidence
POL,1,616,616,Poland,0,4081,5.6,10.8,0.67,incidence
PRT,1,620,620,Portugal,0,1293,6.3,12.8,0.7,incidence
GNB,1,624,624,Guinea-Bissau,0,11,1.1,0.53,0.16,incidence
TLS,1,626,626,Timor-Leste,0,10,1.1,0.73,0.15,incidence
PRI,1,630,630,Puerto Rico,0,182,3,6.4,0.35,incidence
QAT,1,634,634,Qatar,0,33,1.6,1.1,0.2,incidence
REU,1,638,638,"France, La Réunion",0,70,5,7.7,0.59,incidence
ROU,1,642,642,Romania,0,2007,5.6,10.6,0.68,incidence
RUS,1,643,643,Russian Federation,0,9729,3.9,6.7,0.47,incidence
RWA,1,646,646,Rwanda,0,92,1.1,0.68,0.13,incidence
LCA,1,662,662,Saint Lucia,0,11,4.4,5.9,0.61,incidence
STP,1,678,678,Sao Tome and Principe,0,0,0,0,0,incidence
SAU,1,682,682,Saudi Arabia,0,486,1.7,1.4,0.19,incidence
SEN,1,686,686,Senegal,0,177,1.7,1,0.19,incidence
SRB,1,688,688,Serbia,0,705,3.8,8.2,0.44,incidence
SLE,1,694,694,Sierra Leone,0,2,0.04,0.02,0,incidence
SGP,1,702,702,Singapore,0,254,2.3,4.3,0.27,incidence
SVK,1,703,703,Slovakia,0,615,6.4,11.3,0.77,incidence
VNM,1,704,704,Viet Nam,0,2449,2,2.5,0.24,incidence
SVN,1,705,705,Slovenia,0,160,3.7,7.7,0.45,incidence
SOM,1,706,706,Somalia,0,189,2.3,1.1,0.26,incidence
ZAF,1,710,710,South Africa,0,1654,3.1,2.7,0.38,incidence
ZWE,1,716,716,Zimbabwe,0,113,1.4,0.74,0.17,incidence
ESP,1,724,724,Spain,0,4003,3.6,8.6,0.44,incidence
SSD,1,728,728,South Sudan,0,119,1.8,1,0.2,incidence
SDN,1,729,729,Sudan,0,567,1.9,1.2,0.2,incidence
SUR,1,740,740,Suriname,0,11,1.7,1.8,0.22,incidence
SWZ,1,748,748,Eswatini,0,7,1.1,0.59,0.14,incidence
SWE,1,752,752,Sweden,0,816,3.6,8,0.43,incidence
CHE,1,756,756,Switzerland,0,697,3.8,7.9,0.47,incidence
SYR,1,760,760,Syrian Arab Republic,0,195,1.3,1,0.15,incidence
TJK,1,762,762,Tajikistan,0,81,1.3,0.81,0.15,incidence
THA,1,764,764,Thailand,0,4518,3.6,6.5,0.41,incidence
TGO,1,768,768,Togo,0,65,1.3,0.75,0.14,incidence
TTO,1,780,780,Trinidad and Tobago,0,43,2,3.1,0.23,incidence
ARE,1,784,784,United Arab Emirates,0,94,1.8,0.93,0.21,incidence
TUN,1,788,788,Tunisia,0,285,1.8,2.4,0.21,incidence
TUR,1,792,792,Türkiye,0,2246,2.1,2.6,0.24,incidence
TKM,1,795,795,Turkmenistan,0,151,2.8,2.4,0.33,incidence
UGA,1,800,800,Uganda,0,458,2.3,0.95,0.25,incidence
UKR,1,804,804,Ukraine,0,3292,4.3,7.6,0.52,incidence
MKD,1,807,807,North Macedonia,0,63,1.6,3,0.23,incidence
EGY,1,818,818,Egypt,0,1578,1.8,1.5,0.2,incidence
GBR,1,826,826,United Kingdom,0,6269,4.9,9.2,0.59,incidence
TZA,1,834,834,"Tanzania, United Republic of",0,645,2.3,1,0.24,incidence
USA,1,840,840,United States of America,0,27570,4.6,8.2,0.55,incidence
BFA,1,854,854,Burkina Faso,0,221,1.9,1,0.24,incidence
URY,1,858,858,Uruguay,0,174,3,5,0.36,incidence
UZB,1,860,860,Uzbekistan,0,1010,3.2,2.9,0.39,incidence
VEN,1,862,862,Venezuela,0,643,1.9,2.2,0.21,incidence
WSM,1,882,882,Samoa,0,3,1.8,1.5,0.25,incidence
YEM,1,887,887,Yemen,0,287,1.8,0.92,0.19,incidence
ZMB,1,894,894,Zambia,0,124,1.4,0.64,0.15,incidence
,,,,Total,,389765,4,5,0.46,incidence
AFG,11,4,4,Afghanistan,0,900,4.6,2.2,0.54,incidence
ALB,11,8,8,Albania,0,181,3.2,6.3,0.38,incidence
DZA,11,12,12,Algeria,0,755,1.7,1.7,0.19,incidence
AGO,11,24,24,Angola,0,1137,6.6,3.3,0.74,incidence
AZE,11,31,31,Azerbaijan,0,665,5.4,6.5,0.64,incidence
ARG,11,32,32,Argentina,0,2504,3.7,5.4,0.45,incidence
AUS,11,36,36,Australia,0,3333,7.2,12.8,0.88,incidence
AUT,11,40,40,Austria,0,1072,4.9,11.8,0.63,incidence
BHS,11,44,44,Bahamas,0,21,4.1,5.2,0.48,incidence
BHR,11,48,48,Bahrain,0,33,2.7,1.9,0.28,incidence
BGD,11,50,50,Bangladesh,0,3228,2.1,1.9,0.24,incidence
ARM,11,51,51,Armenia,0,539,10.7,18.1,1.2,incidence
BRB,11,52,52,Barbados,0,15,2.4,5.2,0.27,incidence
BEL,11,56,56,Belgium,0,1330,4.8,11.4,0.59,incidence
BTN,11,64,64,Bhutan,0,33,4.5,4.2,0.54,incidence
BOL,11,68,68,Bolivia,0,884,6.7,7.4,0.72,incidence
BIH,11,70,70,Bosnia Herzegovina,0,492,6.6,15.1,0.82,incidence
BWA,11,72,72,Botswana,0,29,1.6,1.2,0.19,incidence
BRA,11,76,76,Brazil,0,13599,4.5,6.3,0.52,incidence
BLZ,11,84,84,Belize,0,24,7,5.8,0.78,incidence
SLB,11,90,90,Solomon Islands,0,52,10.9,7.2,1.2,incidence
BRN,11,96,96,Brunei Darussalam,0,40,8.7,9,1,incidence
BGR,11,100,100,Bulgaria,0,713,4.4,10.4,0.52,incidence
MMR,11,104,104,Myanmar,0,6072,10.7,11,1.2,incidence
BDI,11,108,108,Burundi,0,347,5.8,2.8,0.68,incidence
BLR,11,112,112,Belarus,0,607,3.4,6.4,0.42,incidence
KHM,11,116,116,Cambodia,0,3497,25.1,20.4,2.8,incidence
CMR,11,120,120,Cameroon,0,972,5.8,3.5,0.61,incidence
CAN,11,124,124,Canada,0,4974,5.9,13,0.72,incidence
CPV,11,132,132,Cape Verde,0,6,1.1,1.1,0.13,incidence
CAF,11,140,140,Central African Republic,0,171,6.4,3.4,0.69,incidence
LKA,11,144,144,Sri Lanka,0,402,1.2,1.9,0.14,incidence
TCD,11,148,148,Chad,0,1640,19.1,9.4,2.2,incidence
CHL,11,152,152,Chile,0,1623,4.7,8.4,0.56,incidence
CHN,11,156,160,China,0,367657,15,26,1.7,incidence
COL,11,170,170,Colombia,0,2591,3.6,5,0.41,incidence
COM,11,174,174,Comoros,0,32,5,3.5,0.55,incidence
COG,11,178,178,"Congo, Republic of",0,268,6.9,4.6,0.73,incidence
COD,11,180,180,"Congo, Democratic People Republic of",0,3191,6.1,3.4,0.68,incidence
CRI,11,188,188,Costa Rica,0,425,5,8.2,0.56,incidence
HRV,11,191,191,Croatia,0,551,5.2,13.6,0.66,incidence
CUB,11,192,192,Cuba,0,994,4.1,8.8,0.47,incidence
