Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk,indicator
MNG,9,496,496,Mongolia,0,49,1.7,1.5,0.21,incidence
MDA,9,498,498,Moldova,0,741,11,18.5,1.5,incidence
MNE,9,499,499,Montenegro,0,88,7.8,14,0.93,incidence
MAR,9,504,504,Morocco,0,2157,5,5.7,0.58,incidence
MOZ,9,508,508,Mozambique,0,251,1.5,0.76,0.17,incidence
OMN,9,512,512,Oman,0,151,4,2.8,0.45,incidence
NAM,9,516,516,Namibia,0,52,3,2,0.35,incidence
NPL,9,524,524,Nepal,0,471,1.7,1.6,0.19,incidence
NLD,9,528,528,The Netherlands,0,5440,13.7,31.6,1.7,incidence
NCL,9,540,540,New Caledonia,0,31,7.6,10.7,0.86,incidence
VUT,9,548,548,Vanuatu,0,7,3.7,2.2,0.57,incidence
NZL,9,554,554,New Zealand,0,1331,13.4,27.2,1.6,incidence
NIC,9,558,558,Nicaragua,0,136,2.2,2,0.24,incidence
NER,9,562,562,Niger,0,252,1.8,0.97,0.19,incidence
NGA,9,566,566,Nigeria,0,3151,2.8,1.5,0.34,incidence
NOR,9,578,578,Norway,0,1572,13.6,28.5,1.7,incidence
PAK,9,586,586,Pakistan,0,3524,2,1.5,0.22,incidence
PAN,9,591,591,Panama,0,204,3.8,4.6,0.47,incidence
PNG,9,598,598,Papua New Guinea,0,265,4.8,2.9,0.5,incidence
PRY,9,600,600,Paraguay,0,259,3.7,3.6,0.45,incidence
PER,9,604,604,Peru,0,927,2.2,2.8,0.23,incidence
PHL,9,608,608,Philippines,0,7050,7,6.3,0.84,incidence
POL,9,616,616,Poland,0,10922,13,28.9,1.6,incidence
PRT,9,620,620,Portugal,0,3552,13.3,35,1.6,incidence
GNB,9,624,624,Guinea-Bissau,0,18,1.6,0.87,0.2,incidence
TLS,9,626,626,Timor-Leste,0,32,3.6,2.3,0.38,incidence
PRI,9,630,630,Puerto Rico,0,478,7.6,16.9,0.92,incidence
QAT,9,634,634,Qatar,0,59,3.3,2,0.35,incidence
REU,9,638,638,"France, La Réunion",0,114,7.4,12.6,0.89,incidence
ROU,9,642,642,Romania,0,5469,13.6,28.7,1.7,incidence
RUS,9,643,643,Russian Federation,0,28965,10.4,19.9,1.3,incidence
RWA,9,646,646,Rwanda,0,175,2.2,1.3,0.25,incidence
LCA,9,662,662,Saint Lucia,0,8,2.9,4.3,0.32,incidence
STP,9,678,678,Sao Tome and Principe,0,1,0.88,0.44,0.11,incidence
SAU,9,682,682,Saudi Arabia,0,1658,5.1,4.6,0.59,incidence
SEN,9,686,686,Senegal,0,252,2.5,1.4,0.27,incidence
SRB,9,688,688,Serbia,0,2611,14.7,30.2,1.8,incidence
SLE,9,694,694,Sierra Leone,0,5,0.12,0.06,0.01,incidence
SGP,9,702,702,Singapore,0,1471,12.7,24.8,1.5,incidence
SVK,9,703,703,Slovakia,0,1665,14.8,30.5,1.8,incidence
VNM,9,704,704,Viet Nam,0,9093,7.5,9.2,0.93,incidence
SVN,9,705,705,Slovenia,0,625,12.5,30.1,1.5,incidence
SOM,9,706,706,Somalia,0,292,3.5,1.7,0.39,incidence
ZAF,9,710,710,South Africa,0,3234,5.9,5.3,0.67,incidence
ZWE,9,716,716,Zimbabwe,0,282,3.6,1.8,0.41,incidence
ESP,9,724,724,Spain,0,12716,11.8,27.2,1.5,incidence
SSD,9,728,728,South Sudan,0,161,2.3,1.4,0.27,incidence
SDN,9,729,729,Sudan,0,826,2.7,1.8,0.29,incidence
SUR,9,740,740,Suriname,0,22,3.3,3.7,0.43,incidence
SWZ,9,748,748,Eswatini,0,12,1.5,1,0.18,incidence
SWE,9,752,752,Sweden,0,2368,10.2,23.2,1.2,incidence
CHE,9,756,756,Switzerland,0,1778,9.2,20.3,1.1,incidence
SYR,9,760,760,Syrian Arab Republic,0,493,3.2,2.6,0.27,incidence
TJK,9,762,762,Tajikistan,0,163,2.5,1.6,0.26,incidence
THA,9,764,764,Thailand,0,9129,7.2,13,0.86,incidence
TGO,9,768,768,Togo,0,95,2,1.1,0.21,incidence
TTO,9,780,780,Trinidad and Tobago,0,136,6.4,9.7,0.74,incidence
ARE,9,784,784,United Arab Emirates,0,188,4.1,1.9,0.47,incidence
TUN,9,788,788,Tunisia,0,743,4.8,6.2,0.54,incidence
TUR,9,792,792,Türkiye,0,7735,7.2,9,0.86,incidence
TKM,9,795,795,Turkmenistan,0,171,3.1,2.8,0.37,incidence
UGA,9,800,800,Uganda,0,554,2.9,1.1,0.36,incidence
UKR,9,804,804,Ukraine,0,9269,10.9,21.5,1.4,incidence
MKD,9,807,807,North Macedonia,0,426,11.3,20.5,1.4,incidence
EGY,9,818,818,Egypt,0,1880,2,1.8,0.22,incidence
GBR,9,826,826,United Kingdom,0,16285,10.7,23.8,1.3,incidence
TZA,9,834,834,"Tanzania, United Republic of",0,770,2.6,1.2,0.28,incidence
USA,9,840,840,United States of America,0,45930,8.5,13.7,0.97,incidence
BFA,9,854,854,Burkina Faso,0,82,0.61,0.37,0.04,incidence
URY,9,858,858,Uruguay,0,576,9,16.5,1.1,incidence
UZB,9,860,860,Uzbekistan,0,1303,4.2,3.8,0.53,incidence
VEN,9,862,862,Venezuela,0,1776,5.3,6.1,0.64,incidence
WSM,9,882,882,Samoa,0,17,10.1,8.4,1.3,incidence
